epoch,acc,loss,val_acc,val_loss
0,0.50544333,1.7717430651857928,0.80223405,0.6293280684356148
1,0.73572975,0.8506656425107936,0.83446807,0.4876196914108087
2,0.78169954,0.6822743940183454,0.84730494,0.44241929934379903
3,0.8052932,0.6017094201342087,0.85347515,0.4187159284632257
4,0.8164872,0.5592998416036659,0.8616312,0.3899309266036284
5,0.8266764,0.5210895090384605,0.86386526,0.38414705153052686
6,0.834738,0.497209727749334,0.86886525,0.3718457319423662
7,0.8415348,0.47408882853035067,0.8676241,0.3668069187123725
8,0.8454119,0.4558242282373792,0.87095743,0.35334258645984296
9,0.8499273,0.4405049087526409,0.8735461,0.352008549778174
10,0.85400534,0.42171582544349756,0.8728369,0.3465210018428505
11,0.85827255,0.4144127587458813,0.875461,0.3467681456288547
12,0.85959643,0.4029170729686769,0.87751776,0.3430917199959992
13,0.86344993,0.39283342380628183,0.8771986,0.33809715117968564
14,0.86508113,0.38526581346902017,0.8746809,0.34293652644394135
15,0.8669015,0.374184851121234,0.87702125,0.33796146179767367
16,0.8693247,0.3650454198048455,0.87723404,0.33991679066673236
17,0.8702585,0.35859409021852706,0.87907803,0.3372678129766004
18,0.8732846,0.3510167931073507,0.8803192,0.3366153948949584
19,0.87603873,0.3423034306942108,0.8798936,0.33953523252027257
20,0.877138,0.3393385780813153,0.8794326,0.34214925469236174
21,0.8780364,0.33175903145315844,0.88141847,0.3366675379639822
22,0.88077873,0.32589483400539826,0.88230497,0.3410876380974519
23,0.88214993,0.3215312955685235,0.8784397,0.3432818711142168
24,0.8835802,0.31580755055795473,0.8822695,0.3467482753827217
